tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70306E+17,neutral,1,,,Virgin America,,cairdin,,0,@VirginAmerica What @dhepburn said.,,24-02-2015 11:35,,Eastern Time (US & Canada)
5.70301E+17,positive,0.3486,,0,Virgin America,,jnardino,,0,@VirginAmerica plus you've added commercials to the experience... tacky.,,24-02-2015 11:15,,Pacific Time (US & Canada)
5.70301E+17,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,,24-02-2015 11:15,Lets Play,Central Time (US & Canada)
5.70301E+17,negative,1,Bad Flight,0.7033,Virgin America,,jnardino,,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,24-02-2015 11:15,,Pacific Time (US & Canada)
5.70301E+17,negative,1,Can't Tell,1,Virgin America,,jnardino,,0,@VirginAmerica and it's a really big bad thing about it,,24-02-2015 11:14,,Pacific Time (US & Canada)
5.70301E+17,negative,1,Can't Tell,,Virgin America,,jnardino,,0,," seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",24-02-2015 11:14,,Pacific Time (US & Canada)
5.70301E+17,positive,0.6745,,0,Virgin America,,cjmcginnis,,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",,24-02-2015 11:13,San Francisco CA,Pacific Time (US & Canada)
5.703E+17,neutral,0.634,,,Virgin America,,pilot,,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,24-02-2015 11:12,Los Angeles,Pacific Time (US & Canada)
5.703E+17,positive,0.6559,,,Virgin America,,dhepburn,,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",,24-02-2015 11:11,San Diego,Pacific Time (US & Canada)
5.70295E+17,positive,1,,,Virgin America,,YupitsTate,,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",,24-02-2015 10:53,Los Angeles,Eastern Time (US & Canada)
5.70294E+17,neutral,0.6769,,0,Virgin America,,idk_but_youtube,,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,24-02-2015 10:48,1/1 loner squad,Eastern Time (US & Canada)
5.7029E+17,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,,24-02-2015 10:30,NYC,America/New_York
5.7029E+17,positive,1,,,Virgin America,,HyperCamiLax,,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,,24-02-2015 10:30,NYC,America/New_York
5.70287E+17,positive,0.6451,,,Virgin America,,mollanderson,,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,,24-02-2015 10:21,,Eastern Time (US & Canada)
5.70286E+17,positive,1,,,Virgin America,,sjespers,,0,@VirginAmerica Thanks!,,24-02-2015 10:15,"San Francisco, CA",Pacific Time (US & Canada)
5.70282E+17,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,@VirginAmerica SFO-PDX schedule is still MIA.,,24-02-2015 10:01,"palo alto, ca",Pacific Time (US & Canada)
5.70278E+17,positive,1,,,Virgin America,,ItzBrianHunty,,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,,24-02-2015 09:42,west covina,Pacific Time (US & Canada)
5.70277E+17,negative,1,Bad Flight,1,Virgin America,,heatherovieda,,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,,24-02-2015 09:39,this place called NYC,Eastern Time (US & Canada)
5.70271E+17,positive,1,,,Virgin America,,thebrandiray,,0,I ❤️ flying @VirginAmerica. ☺️👍,,24-02-2015 09:15,Somewhere celebrating life. ,Atlantic Time (Canada)
5.70268E+17,positive,1,,,Virgin America,,JNLpierce,,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,24-02-2015 09:04,Boston | Waltham,Quito
5.70266E+17,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,,24-02-2015 08:55,,
5.70264E+17,positive,1,,,Virgin America,,DT_Les,,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",24-02-2015 08:49,,
